ZdAId	ZdAName	ZdATown	ZdAPostalRegion
48419	Husson	Viry-Châtillon	91687
49753	Berthelot	Mitry-Mory	77294
56725	Le Gué	Saint-Rémy-l'Honoré	78576
59046	Mesnil Condit	Faverolles	28146
427787	Eglise	Marolles-en-Hurepoix	91376
55038	Route d'Epernon	Saint-Hilarion	78557
49073	Coq Hardi	Montigny-lès-Cormeilles	95424
56287	Robert Schuman	Roissy-en-Brie	77390
421740	Hélène Boucher	Goussainville	95280
54578	Résidence Seine et Oise	Conflans-Sainte-Honorine	78172
54640	Quartier de Noailles	Poissy	78498
54586	Norton	Conflans-Sainte-Honorine	78172
54585	Van Gogh	Conflans-Sainte-Honorine	78172
413439	Lorraine	Fontainebleau	77186
56306	Cheminots	Chelles	77108
56325	Paul de Kock	Courtry	77139
53735	Souilly Centre	Claye-Souilly	77118
53731	Passerelle RN3	Claye-Souilly	77118
56432	Berthelot	Villeneuve-Saint-Georges	94078
53060	Salvador Allende	Sainte-Geneviève-des-Bois	91549
48511	Grand Vaux	Épinay-sur-Orge	91216
49758	L'Abîme	Mitry-Mory	77294
49755	Colas	Mitry-Mory	77294
46730	Nottelet - Môquet	Mitry-Mory	77294
44635	Résistance	Mitry-Mory	77294
42506	Centre d'Accueil	Villeparisis	77514
54790	Lavoisier	Villeparisis	77514
54792	Parc d'Activités de l'Ambrésis	Villeparisis	77514
425783	Frères Lumière	Mitry-Mory	77294
479088	Rue du 4eme Zouave	Bry-sur-Marne	94015
479079	Estivalliere	Bry-sur-Marne	94015
47152	Grandes Berges	Montereau-Fault-Yonne	77305
56682	Grenonvilliers	Rambouillet	78517
47155	Parc de la Gramine	Montereau-Fault-Yonne	77305
57238	Centre Commercial Bréau	Varennes-sur-Seine	77482
56035	Château	La Brosse-Montceaux	77054
56068	Rustic	Montereau-Fault-Yonne	77305
56072	Village	Saint-Germain-Laval	77409
56080	De Gaulle	Montereau-Fault-Yonne	77305
43061	Gardeloup	Saint-Germain-Laval	77409
58049	Procession	Sucy-en-Brie	94071
58035	Marché du Bois Clary	Boissy-Saint-Léger	94004
42299	Beauséjour	Villemoisson-sur-Orge	91667
53869	80 Arpents	Brétigny-sur-Orge	91103
53871	Maryse Bastié	Brétigny-sur-Orge	91103
53877	Cossigny	Brétigny-sur-Orge	91103
53876	Bois de Chatres	Brétigny-sur-Orge	91103
53880	Victor Hugo	Brétigny-sur-Orge	91103
53881	Bois Joli	Brétigny-sur-Orge	91103
53894	Les Vendanges	Brétigny-sur-Orge	91103
53899	Les Biches	Le Plessis-Pâté	91494
53906	Mozart	Le Plessis-Pâté	91494
53926	Ferme MN	Brétigny-sur-Orge	91103
57669	Les Docks	Versailles	78646
46707	Parc d'Activités	Versailles	78646
43750	Les Malines	Lisses	91340
461913	Aéroport Paris Beauvais	Tillé	60639
44943	Thorigny	Courcouronnes	91182
42814	Dame du Lac	Lisses	91340
59139	Église	Courtry	77139
52031	Puits Perdu - Rue des Champs	Marcq	78364
52012	Bonneville Château	Civry-la-Forêt	78163
58053	Roosevelt	Sucy-en-Brie	94071
56318	Aimé Fluttaz	Courtry	77139
49215	Village	Aulnoy	77013
49537	Bas Mesnil	Aulnoy	77013
51381	Artois	Saint-Ouen-l'Aumône	95572
46655	Avenue de l'Est	Pontoise	95500
51468	Les Tremblays	Jouy-le-Moutier	95323
51446	Le Ponceau	Cergy	95127
52213	Les Bocages	Pontoise	95500
51774	Les Doucerons	Vauréal	95637
51384	Verdun	Saint-Ouen-l'Aumône	95572
52218	Fond de Chars	Osny	95476
51437	Le Bontemps	Cergy	95127
44080	Marcel Dassault	Saint-Ouen-l'Aumône	95572
46660	Jules Verne	Cergy	95127
51528	Sentier	Cergy	95127
51472	L'Orangerie	Cergy	95127
51431	La Justice	Cergy	95127
51432	La Patelle	Herblay	95306
51511	Rue de Gency	Osny	95476
461647	ZAE Saint Roch	Beaumont-sur-Oise	95052
58972	ZA La Source	Juilly	77241
49975	Village	Guercheville	77220
57711	Vieille Terrière	Briis-sous-Forges	91111
57670	Victor Duret	Vaucresson	92076
58974	Vélodrome	Montigny-le-Bretonneux	78423
461697	Tourniole	Bruyères-sur-Oise	95116
44865	Saint Fiacre	Dammartin-en-Goële	77153
49036	Square de l'Europe	Franconville	95252
48619	Soult	Versailles	78646
56359	Sources	Chelles	77108
48683	Scierie	Choisel	78162
49988	Rumont	Rumont	77395
57923	Rue de la Louveterie	Le Mesnil-Saint-Denis	78397
424519	Rue de la Ferme	Chaumontel	95149
461650	Route de Balagny	Cires-lès-Mello	60155
42518	Route d'Eve	Dammartin-en-Goële	77153
48596	Richard Mique	Versailles	78646
57719	République	Roissy-en-Brie	77390
47220	Renardière	Roissy-en-Brie	77390
49130	Quatre Arpents	Fontenay-le-Fleury	78242
48941	Président Georges Pompidou	Ermont	95219
57613	Pré des Aulnes	Roissy-en-Brie	77390
49819	Ponceau	Longperrier	77259
53669	Plaine du Mée	Noisy-sur-École	77339
59092	Place Simone Weil	Chevreuse	78160
